;reference;auteur;date_acquisition;denomination;date_de_mise_a_jour;date_de_creation;domaine;ecole_pays;epoque;lieu_de_creation_utilisation;millesime_de_creation;identifiant_museofile;precision_auteur;periode_de_creation;sujet_represente;materiaux_techniques;titre;Date_Acquisition_1;Epoque_1;Dénomination_1;Ecole_pays_1;P1;P_Dates;Titre_Oeuvre;Auteur_1;Auteur-1;Auteur-2;Auteur-3;Auteur-4;Auteur-5;Auteur-6;Auteur-7;Domaine_1;Domaine-1;Domaine-2;Domaine-3;Domaine-4;Domaine-5
43;1510000015;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre (lieu de création, lieu d'utilisation);;M0151;;2e moitié 18e siècle;ornementation (ornement à forme végétale, fleur, guirlande);faïence, décor de grand feu, chantourné, polychromie, émail;Assiette patronymique dédicacée 'Le Blanc';1912-1970;;;;;;ASSIETTE PATRONYMIQUE DEDICACEE 'LE BLANC';ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
44;1510000016;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre,Nevers (lieu de création, lieu d'utilisation);;M0151;;2e moitié 18e siècle;ornementation (ornement à forme végétale, fleur, guirlande);faïence, décor de grand feu, chantourné, polychromie, émail;Assiette patronymique dédicacée 'Le Blanc' (médaillon avec fleurs stylisées);1912-1970;;;;;;ASSIETTE PATRONYMIQUE DEDICACEE 'LE BLANC' (MEDAILLON AVEC FLEURS STYLISEES);ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
45;1510000017;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre,Nevers (lieu de création),France,Bourgogne,Nièvre,Nevers (lieu d'utilisation);;M0151;;1er quart 19e siècle;paysage (oiseau, arbre);faïence, décor de grand feu, chantourné, polychromie, émail;Assiette aux deux oiseaux dans un paysage avec arbres;1912-1970;;;;;;ASSIETTE AUX DEUX OISEAUX DANS UN PAYSAGE AVEC ARBRES;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
46;1510000018;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre,Nevers (lieu de création, lieu d'utilisation);1780;M0151;;4e quart 18e siècle;nature morte (table, arrosoir, panier, râteau, ornement à forme végétale, fruit, plante);faïence, décor de grand feu, chantourné, polychromie, émail;Assiette figurant le thème du jardinage;1912-1970;;;;;;ASSIETTE FIGURANT LE THEME DU JARDINAGE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
47;1510000019;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre (lieu de création, lieu d'utilisation);;M0151;;2e moitié 18e siècle;ornementation (cage : oiseau, raisin, fleur : stylisé, papillon);faïence, décor de grand feu, chantourné, polychromie, émail;Assiette à la cage aux oiseaux;1912-1970;;;;;;ASSIETTE A LA CAGE AUX OISEAUX;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
48;1510000020;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre,Nevers (lieu de création, lieu d'utilisation);;M0151;;2e moitié 18e siècle;paysage (homme, bâton, arbre),ornementation (ornement à forme végétale, fleur, stylisé);faïence, décor de grand feu, chantourné, polychromie, émail;Assiette au marcheur dans la campagne;1912-1970;;;;;;ASSIETTE AU MARCHEUR DANS LA CAMPAGNE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
49;1510000021;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre (lieu de création, lieu d'utilisation);;M0151;;1ère moitié 19e siècle;ornementation (ornement à forme végétale, oranger, fleur);faïence, décor de grand feu, chantourné, polychromie, émail;Assiette à l'oranger;1912-1970;;;;;;ASSIETTE A L'ORANGER;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
50;1510000022;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre (lieu de création, lieu d'utilisation);;M0151;;4e quart 18e siècle;paysage (maison, coq),ornementation (ornement à forme végétale, fleur);faïence, décor de grand feu, chantourné, polychromie, émail;Assiette au coq perché sur une maison;1912-1970;;;;;;ASSIETTE AU COQ PERCHE SUR UNE MAISON;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
51;1510000023;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre (lieu de création, lieu d'utilisation);;M0151;;4e quart 18e siècle;paysage (coq, arbre, tour),ornementation (ornement à forme géométrique, guirlande);faïence, décor de grand feu, chantourné, polychromie, émail;Assiette au coq sur une patte dans un paysage;1912-1970;;;;;;ASSIETTE AU COQ SUR UNE PATTE DANS UN PAYSAGE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
52;1510000024;anonyme;1912 acquis, 2012 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre (lieu de création, lieu d'utilisation);;M0151;;4e quart 18e siècle;;faïence, décor de grand feu, émail, polychromie;Pichet patronymique 'A Pierrot';1912-2012;;;;;;PICHET PATRONYMIQUE 'A PIERROT';ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
53;1510000025;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre (lieu de création, lieu d'utilisation);;M0151;;1ère moitié 19e siècle;paysage (arbre, chien, lapin),ornementation (ornement à forme végétale, fleur, stylisé);faïence, décor de grand feu, chantourné, polychromie, émail;Assiette à la scène de chasse;1912-1970;;;;;;ASSIETTE A LA SCENE DE CHASSE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
54;1510000026;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre (lieu de création),France,Bourgogne,Nièvre,Nevers,?,Auxerre,? (lieu d'utilisation);;M0151;;1ère moitié 19e siècle;paysage (arbre, chien, lapin),ornementation (ornement à forme végétale, fleur, stylisé);faïence, décor de grand feu, chantourné, polychromie, émail;Assiette à la scène de chasse;1912-1970;;;;;;ASSIETTE A LA SCENE DE CHASSE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
55;1510000027;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre (lieu de création, lieu d'utilisation);;M0151;;1ère moitié 19e siècle;ornementation (ornement à forme animale, oiseau, blé : épi, médaillon : feston);faïence, décor de grand feu, chantourné, polychromie, émail;Assiette à l'oiseau tenant dans son bec un épi de blé encerclé de festons;1912-1970;;;;;;ASSIETTE A L'OISEAU TENANT DANS SON BEC UN EPI DE BLE ENCERCLE DE FESTONS;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
56;1510000028;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre (lieu de création, lieu d'utilisation);;M0151;;1ère moitié 19e siècle;ornementation (ornement à forme végétale, fleur, stylisé, bouquet, ruban orn);faïence, décor de grand feu, chantourné, polychromie, émail;Assiette au bouquet de fleurs;1912-1970;;;;;;ASSIETTE AU BOUQUET DE FLEURS;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
57;1510000029;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre (lieu de création, lieu d'utilisation);;M0151;;1ère moitié 19e siècle;ornementation (ornement à forme végétale, fleur, stylisé, bouquet, ruban orn);faïence, décor de grand feu, chantourné, polychromie, émail;Assiette au bouquet de fleurs;1912-1970;;;;;;ASSIETTE AU BOUQUET DE FLEURS;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
58;1510000030;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre (lieu de création, lieu d'utilisation);1770;M0151;;3e quart 18e siècle;paysage (femme, pêche à la ligne, tour, bâtiment),ornementation (ornement à forme végétale, fleur, stylisé);faïence, décor de grand feu, chantourné, polychromie, émail;Saladier à la pêcheuse près d'une fabrique;1912-1970;;;;;;SALADIER A LA PECHEUSE PRES D'UNE FABRIQUE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
59;1510000031;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre (lieu de création, lieu d'utilisation);;M0151;;4e quart 18e siècle;paysage (maison),ornementation (ornement à forme végétale, fleur, stylisé);faïence, décor de grand feu, chantourné, polychromie, émail;Saladier aux deux fabriques;1912-1970;;;;;;SALADIER AUX DEUX FABRIQUES;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
60;1510000032;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre (lieu de création, lieu d'utilisation);;M0151;;4e quart 18e siècle;paysage (maison, voyageur),ornementation (ornement à forme végétale, fleur, stylisé);faïence, décor de grand feu, chantourné, polychromie, émail;Saladier au voyageur marchant près d'une fabrique;1912-1970;;;;;;SALADIER AU VOYAGEUR MARCHANT PRES D'UNE FABRIQUE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
61;1510000033;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre (lieu de création, lieu d'utilisation);;M0151;;4e quart 18e siècle;figure (homme, promenade),ornementation (ornement à forme végétale, guirlande, fleur, stylisé);faïence, décor de grand feu, chantourné, polychromie, émail;Saladier au paysan marchant avec une hotte et une canne;1912-1970;;;;;;SALADIER AU PAYSAN MARCHANT AVEC UNE HOTTE ET UNE CANNE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
62;1510000034;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre (lieu de création, lieu d'utilisation);;M0151;;4e quart 18e siècle;paysage,ornementation (ornement à forme végétale, fleur, stylisé);faïence, décor de grand feu, chantourné, polychromie, émail;Saladier au paysage encadré et au décor floral;1912-1970;;;;;;SALADIER AU PAYSAGE ENCADRE ET AU DECOR FLORAL;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
63;1510000035;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre,Nevers (lieu de création);1750;M0151;;3e quart 18e siècle;paysage ( maison),ornementation (fleur, papillon);faïence, décor de grand feu, chantourné, camaïeu, émail;Plat de barbier à décor d'une maison avec tour;1912-1970;;;;;;PLAT DE BARBIER A DECOR D'UNE MAISON AVEC TOUR;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
64;1510000036;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre (lieu de création, lieu d'utilisation);;M0151;;18e siècle;figure biblique (Christ en croix),ornementation (ornement à forme géométrique, palmette, cercle);faïence, décor de grand feu, émail;Bénitier d'applique au Christ crucifié;1912-1970;;;;;;BENITIER D'APPLIQUE AU CHRIST CRUCIFIE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
65;1510000037;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre (lieu de création, lieu d'utilisation);1750;M0151;;3e quart 18e siècle;figure biblique (Christ en croix),ornementation (ornement à forme géométrique, palmette, cercle);faïence, décor de grand feu, camaïeu, assemblé, émail;Bénitier d'applique au Christ crucifié;1912-1970;;;;;;BENITIER D'APPLIQUE AU CHRIST CRUCIFIE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
66;1510000038;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique,Asie orientale;;;Asie,Extrême-Orient,Chine (lieu de création);;M0151;;18e siècle;ornementation (ornement à forme végétale, feuille, fleur, stylisé, lambrequin);porcelaine, camaïeu, émail;Bouteille à long col et décor floral;1912-1970;;;;;;BOUTEILLE A LONG COL ET DECOR FLORAL;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE,ASIE ORIENTALE;ARTS DÉCORATIFS;CÉRAMIQUE;ASIE ORIENTALE;;
67;1510000039;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;Asie,Extrême-Orient,Chine (lieu de création);;M0151;;18e siècle;ornementation (ornement à forme végétale, feuille, fleur, stylisé, lambrequin);porcelaine, camaïeu, émail;Bouteille à long col et décor floral;1912-1970;;;;;;BOUTEILLE A LONG COL ET DECOR FLORAL;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
68;1510000040;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;Italie,Urbino (lieu de création);1545;M0151;;2e quart 16e siècle;scène mythologique (Jupiter, représenté en : taureau, enlèvement, Europe myth),fond de paysage;majolique, décor de grand feu, polychromie, émail;Assiette figurant l'enlèvement d'Europe par Jupiter;1912-1970;;;;;;ASSIETTE FIGURANT L'ENLEVEMENT D'EUROPE PAR JUPITER;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
69;1510000041;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;Pays-Bas,Delft (lieu de création);;M0151;;2e moitié 18e siècle;;faïence, décor de grand feu, camaïeu, émail;Vase godronné à décor d'un cerf et d'un oiseau dans un paysage bucolique;1912-1970;;;;;;VASE GODRONNE A DECOR D'UN CERF ET D'UN OISEAU DANS UN PAYSAGE BUCOLIQUE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
70;1510000042;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;Pays-Bas,Delft (lieu de création);;M0151;;2e moitié 18e siècle;ornementation (ornement à forme animale, paon, papillon, ornement à forme végétale, fleur);faïence, décor de grand feu, camaïeu, émail;Vase balustre à décor d'un paon dans un paysage floral;1912-1970;;;;;;VASE BALUSTRE A DECOR D'UN PAON DANS UN PAYSAGE FLORAL;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
71;1510000043;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;Pays-Bas,Delft (lieu de création);;M0151;;18e siècle;paysage (jardin, paon),ornementation (ornement à forme géométrique, fleur, stylisé);faïence, décor de grand feu, camaïeu, émail;Plat circulaire au décor d'un paon dans un paysage;1912-1970;;;;;;PLAT CIRCULAIRE AU DECOR D'UN PAON DANS UN PAYSAGE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
72;1510000044;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;Europe,Pays-Bas,Delft (lieu de création);;M0151;;1ère moitié 18e siècle;paysage (lion, temple),ornementation (ornement à forme géométrique, homme, Chinois, assis);faïence, décor de grand feu, camaïeu, émail;Plat circulaire à décor d'un lion dans un temple;1912-1970;;;;;;PLAT CIRCULAIRE A DECOR D'UN LION DANS UN TEMPLE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
73;1510000045;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Yonne,Ancy-le-Franc (lieu de création),France,Bourgogne,Nièvre,Nevers (lieu d'utilisation);;M0151;;1er quart 19e siècle;ornementation (ornement à forme végétale, fleur);faïence, décor de grand feu, polychromie, émail;Soupière à décor végétal et floral;1912-1970;;;;;;SOUPIERE A DECOR VEGETAL ET FLORAL;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
74;1510000047;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Haute-Normandie,Seine-Maritime,Rouen (lieu de création);;M0151;;2e moitié 18e siècle;ornementation (ornement à forme végétale, fleur),ornementation (ornement à forme géométrique, palmette, feston, spirale);faïence, décor de grand feu, polychromie, émail;Cuvette à laver octogonale à décor de fleurs et palmettes;1912-1970;;;;;;CUVETTE A LAVER OCTOGONALE A DECOR DE FLEURS ET PALMETTES;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
75;1510000048;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Haute-Normandie,Seine-Maritime,Rouen (lieu de création);1783,1785;M0151;;4e quart 18e siècle;ornementation (ornement à forme végétale, guirlande, fleur, stylisé);faïence, décor de grand feu, tourné, polychromie, émail;Rafraîchissoir à bouteille décoré de fleurs;1912-1970;;;;;;RAFRAICHISSOIR A BOUTEILLE DECORE DE FLEURS;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
76;1510000049;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Haute-Normandie,Seine-Maritime,Rouen (lieu de création);;M0151;;2e moitié 18e siècle;ornementation (ornement à forme végétale, fleur, stylisé);faïence, décor de grand feu, polychromie, émail;Bouquetière d'applique à décor végétal;1912-1970;;;;;;BOUQUETIERE D'APPLIQUE A DECOR VEGETAL;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
77;1510000050;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-25;arts décoratifs,céramique;;;France,Haute-Normandie,Seine-Maritime,Rouen (lieu de création);;M0151;;2e moitié 18e siècle;ornementation (ornement à forme végétale, fleur, stylisé);faïence, décor de grand feu, polychromie, émail;Cuvette à laver octogonale à décor floral;1912-1970;;;;;;CUVETTE A LAVER OCTOGONALE A DECOR FLORAL;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
78;1510000051;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-25;arts décoratifs,céramique;;;France,Bourgogne,Nièvre,Nevers (lieu de création),France,Haute-Normandie,Seine-Maritime,Rouen (lieu de création, lieu d'utilisation);1750;M0151;;3e quart 18e siècle;ornementation (ornement à forme végétale, corbeille : fleur, stylisé);faïence, décor de grand feu, polychromie, émail;plat creux oblong à décor de corbeille de fruits;1912-1970;;;;;;PLAT CREUX OBLONG A DECOR DE CORBEILLE DE FRUITS;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
79;1510000052;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-25;arts décoratifs,céramique;;;France,Bourgogne,Nièvre,Nevers (lieu de création),France,Haute-Normandie,Seine-Maritime,Rouen (lieu de création, lieu d'utilisation);;M0151;;2e moitié 18e siècle;ornementation (ornement à forme végétale, fleur, stylisé);faïence, décor de grand feu, polychromie, émail;Plat creux oblong à décor floral stylisé;1912-1970;;;;;;PLAT CREUX OBLONG A DECOR FLORAL STYLISE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
80;1510000053;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-25;arts décoratifs,céramique;;;France,Haute-Normandie,Seine-Maritime,Rouen (lieu de création);1725;M0151;;2e quart 18e siècle;ornementation (ornement à forme végétale, bouquet : fleur, stylisé, ornement à forme géométrique);faïence, décor de grand feu, chantourné, polychromie, émail;Plat chantourné à la corbeille de fleurs;1912-1970;;;;;;PLAT CHANTOURNE A LA CORBEILLE DE FLEURS;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
81;1510000054;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-25;arts décoratifs,céramique;;;France,Haute-Normandie,Seine-Maritime,Rouen (lieu de création);;M0151;;1er quart 18e siècle;ornementation (ornement à forme végétale, bouquet : fleur, stylisé, ornement à forme géométrique);faïence, décor de grand feu, camaïeu, émail;Plat octogonal à décor d'une corbeille de fleurs;1912-1970;;;;;;PLAT OCTOGONAL A DECOR D'UNE CORBEILLE DE FLEURS;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
82;1510000055;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-25;arts décoratifs,céramique;;;France,Haute-Normandie,Seine-Maritime,Rouen (lieu de création);;M0151;;2e quart 18e siècle,3e quart 18e siècle;ornementation (ornement à forme végétale, fleur, ornement à forme géométrique, palmette);faïence, décor de grand feu, chantourné, polychromie, émail;Assiette au trois fleurs;1912-1970;;;;;;ASSIETTE AU TROIS FLEURS;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
